B04, Trade, 85419.788, 100, S12, B04, 1
B04, Trade, 85435.769, 101, B04, S17, 1
B04, Trade, 85437.942, 106, P00, B04, 1
B04, Trade, 85473.135, 105, B04, S18, 1
B04, Trade, 85477.692, 108, S19, B04, 1
B04, Trade, 85487.692, 111, S07, B04, 1
B04, Trade, 85498.288, 97, P00, B04, 1
B04, Trade, 85508.731, 104, S03, B04, 1
B04, Trade, 85520.846, 98, B04, S22, 1
B04, Trade, 85530.788, 98, S20, B04, 1
B04, Trade, 85540.077, 99, S00, B04, 1
B04, Trade, 85548.538, 105, S01, B04, 1
B04, Trade, 85560.288, 99, B04, S17, 1
B04, Trade, 85562.269, 107, S12, B04, 1
B04, Trade, 85574.577, 104, S24, B04, 1
B04, Trade, 85590.808, 101, S04, B04, 1
B04, Trade, 85598.404, 104, S04, B04, 1
B04, Trade, 85612.250, 102, S21, B04, 1
B04, Trade, 85618.481, 104, S20, B04, 1
B04, Trade, 85628.462, 108, S03, B04, 1
B04, Trade, 85641.558, 99, B04, S16, 1
B04, Trade, 85644.981, 101, S21, B04, 1
B04, Trade, 85655.538, 108, S24, B04, 1
B04, Trade, 85667.462, 101, P00, B04, 1
B04, Trade, 85683.808, 100, S01, B04, 1
B04, Trade, 85685.731, 103, S20, B04, 1
B04, Trade, 85702.673, 108, S20, B04, 1
B04, Trade, 85711.115, 111, S02, B04, 1
B04, Trade, 85719.269, 102, P00, B04, 1
B04, Trade, 85728.308, 103, S01, B04, 1
B04, Trade, 85739.423, 103, S08, B04, 1
B04, Trade, 85755.962, 103, S08, B04, 1
B04, Trade, 85771.038, 95, B04, S10, 1
B04, Trade, 85774.769, 112, S05, B04, 1
B04, Trade, 85793.173, 102, B04, S20, 1
B04, Trade, 85818.865, 98, S13, B04, 1
B04, Trade, 85841.346, 105, S11, B04, 1
B04, Trade, 85846.981, 106, S01, B04, 1
B04, Trade, 85861.346, 103, B04, S16, 1
B04, Trade, 85871.365, 100, S01, B04, 1
B04, Trade, 85880.250, 111, B04, S14, 1
B04, Trade, 85892.558, 104, B04, S05, 1
B04, Trade, 85903.269, 116, S07, B04, 1
B04, Trade, 85904.808, 111, S18, B04, 1
B04, Trade, 85921.596, 106, B04, S14, 1
B04, Trade, 85923.365, 106, S00, B04, 1
B04, Trade, 85937.385, 113, S02, B04, 1
B04, Trade, 85951.596, 109, S10, B04, 1
B04, Trade, 85956.346, 109, S19, B04, 1
B04, Trade, 85964.769, 105, B04, S17, 1
B04, Trade, 85996.788, 112, B04, S07, 1
B04, Trade, 86005.577, 115, B04, S17, 1
B04, Trade, 86025.000, 106, S22, B04, 1
B04, Trade, 86043.308, 103, S07, B04, 1
B04, Trade, 86047.000, 108, S00, B04, 1
B04, Trade, 86053.788, 116, B04, S24, 1
B04, Trade, 86066.038, 107, P00, B04, 1
B04, Trade, 86074.615, 105, S06, B04, 1
B04, Trade, 86093.558, 104, S12, B04, 1
B04, Trade, 86102.212, 108, S10, B04, 1
B04, Trade, 86104.192, 109, P00, B04, 1
B04, Trade, 86121.827, 108, B04, S15, 1
B04, Trade, 86133.423, 96, S24, B04, 1
B04, Trade, 86140.885, 109, S24, B04, 1
B04, Trade, 86145.538, 106, S13, B04, 1
B04, Trade, 86156.885, 104, S09, B04, 1
B04, Trade, 86166.673, 105, S20, B04, 1
B04, Trade, 86175.462, 106, B04, S09, 1
B04, Trade, 86187.596, 107, S11, B04, 1
B04, Trade, 86195.462, 105, S00, B04, 1
B04, Trade, 86212.942, 103, S19, B04, 1
B04, Trade, 86240.942, 107, S00, B04, 1
B04, Trade, 86258.019, 109, S01, B04, 1
B04, Trade, 86281.615, 109, S22, B04, 1
B04, Trade, 86291.212, 113, S03, B04, 1
B04, Trade, 86302.154, 107, P00, B04, 1
B04, Trade, 86309.096, 103, S18, B04, 1
B04, Trade, 86348.308, 106, S08, B04, 1
B04, Trade, 86356.250, 103, B04, S13, 1
B04, Trade, 86375.365, 109, P00, B04, 1
B04, Trade, 86392.365, 111, S13, B04, 1
B05, 100
B05, Trade, 84988.481, 104, B05, S09, 1
B05, Trade, 84995.269, 105, B05, S11, 1
B05, Trade, 84998.115, 111, B05, S16, 1
B05, Trade, 85003.019, 106, S17, B05, 1
B05, Trade, 85052.154, 104, B05, S19, 1
B05, Trade, 85059.135, 110, S04, B05, 1
B05, Trade, 85080.019, 108, B05, S08, 1
B05, Trade, 85088.538, 108, S05, B05, 1
B05, Trade, 85099.885, 104, B05, S14, 1
B05, Trade, 85105.019, 111, S07, B05, 1
B05, Trade, 85126.154, 106, B05, S24, 1
B05, Trade, 85141.212, 103, S07, B05, 1
B05, Trade, 85155.712, 112, S10, B05, 1
B05, Trade, 85168.423, 105, B05, S04, 1
B05, Trade, 85193.058, 115, S19, B05, 1
B05, Trade, 85205.442, 102, B05, S08, 1
B05, Trade, 85238.154, 101, B05, S03, 1
B05, Trade, 85258.769, 103, S21, B05, 1
B05, Trade, 85271.462, 105, B05, S12, 1
B05, Trade, 85291.154, 100, B05, S13, 1
B05, Trade, 85302.192, 110, P00, B05, 1
B05, Trade, 85321.654, 104, B05, S13, 1
B05, Trade, 85330.096, 105, B05, S19, 1
B05, Trade, 85357.385, 103, S12, B05, 1
B05, Trade, 85371.019, 101, B05, S22, 1
B05, Trade, 85390.423, 104, P00, B05, 1
B05, Trade, 85401.962, 102, B05, S24, 1
B05, Trade, 85412.077, 103, B05, S19, 1
B05, Trade, 85427.577, 105, B05, S08, 1
B05, Trade, 85435.462, 104, B05, S06, 1
B05, Trade, 85441.231, 109, S22, B05, 1
B05, Trade, 85449.923, 99, B05, S22, 1
B05, Trade, 85470.423, 106, B05, S00, 1
B05, Trade, 85474.346, 108, P00, B05, 1
B05, Trade, 85475.462, 106, S03, B05, 1
B05, Trade, 85487.596, 105, B05, S02, 1
B05, Trade, 85501.481, 104, B05, S22, 1
B05, Trade, 85511.769, 102, B05, S06, 1
B05, Trade, 85531.904, 100, S12, B05, 1
B05, Trade, 85548.346, 105, S24, B05, 1
B05, Trade, 85563.154, 98, B05, S03, 1
B05, Trade, 85569.269, 103, S12, B05, 1
B05, Trade, 85583.808, 94, B05, S17, 1
B05, Trade, 85593.981, 101, S12, B05, 1
B05, Trade, 85602.788, 108, S06, B05, 1
B05, Trade, 85625.250, 97, B05, S20, 1
B05, Trade, 85633.038, 105, B05, S09, 1
B05, Trade, 85649.346, 106, S07, B05, 1
B05, Trade, 85670.423, 99, B05, S13, 1
B05, Trade, 85672.481, 105, S18, B05, 1
B05, Trade, 85696.462, 99, B05, S04, 1
B05, Trade, 85712.712, 105, S17, B05, 1
B05, Trade, 85714.654, 102, B05, S13, 1
B05, Trade, 85732.673, 100, B05, S24, 1
B05, Trade, 85743.712, 104, B05, S17, 1
B05, Trade, 85758.135, 100, B05, S20, 1
B05, Trade, 85766.654, 101, S02, B05, 1
B05, Trade, 85779.769, 105, B05, S00, 1
