B02, Trade, 85341.962, 111, S07, B02, 1
B02, Trade, 85350.250, 109, S20, B02, 1
B02, Trade, 85370.519, 109, B02, S02, 1
B02, Trade, 85380.808, 104, S00, B02, 1
B02, Trade, 85395.769, 108, S06, B02, 1
B02, Trade, 85411.135, 98, S12, B02, 1
B02, Trade, 85417.865, 102, B02, S22, 1
B02, Trade, 85431.981, 111, S04, B02, 1
B02, Trade, 85449.327, 107, S18, B02, 1
B02, Trade, 85466.558, 109, S00, B02, 1
B02, Trade, 85484.635, 112, S11, B02, 1
B02, Trade, 85492.731, 107, S12, B02, 1
B02, Trade, 85511.596, 102, P01, B02, 1
B02, Trade, 85516.173, 107, B02, S11, 1
B02, Trade, 85531.365, 107, S05, B02, 1
B02, Trade, 85534.846, 104, S06, B02, 1
B02, Trade, 85542.635, 109, S05, B02, 1
B02, Trade, 85556.269, 97, S00, B02, 1
B02, Trade, 85563.942, 104, S22, B02, 1
B02, Trade, 85573.346, 104, S12, B02, 1
B02, Trade, 85607.288, 98, B02, S14, 1
B02, Trade, 85609.442, 100, B02, S20, 1
B02, Trade, 85619.827, 100, B02, S19, 1
B02, Trade, 85626.942, 103, P01, B02, 1
B02, Trade, 85648.135, 100, S19, B02, 1
B02, Trade, 85661.865, 101, B02, S01, 1
B02, Trade, 85665.731, 102, P01, B02, 1
B02, Trade, 85675.481, 102, S24, B02, 1
B02, Trade, 85686.788, 105, S01, B02, 1
B02, Trade, 85697.192, 100, S21, B02, 1
B02, Trade, 85719.212, 98, P01, B02, 1
B02, Trade, 85736.481, 102, S22, B02, 1
B02, Trade, 85751.538, 105, P01, B02, 1
B02, Trade, 85755.442, 103, S18, B02, 1
B02, Trade, 85770.481, 105, S20, B02, 1
B02, Trade, 85776.269, 102, S23, B02, 1
B02, Trade, 85796.865, 94, B02, S05, 1
B02, Trade, 85803.385, 104, S00, B02, 1
B02, Trade, 85809.635, 109, S16, B02, 1
B02, Trade, 85821.577, 109, S15, B02, 1
B02, Trade, 85832.596, 109, P01, B02, 1
B02, Trade, 85840.481, 110, S11, B02, 1
B02, Trade, 85848.904, 103, B02, S23, 1
B02, Trade, 85854.962, 111, S22, B02, 1
B02, Trade, 85863.096, 102, B02, S04, 1
B02, Trade, 85882.327, 107, S19, B02, 1
B02, Trade, 85890.250, 109, S15, B02, 1
B02, Trade, 85905.346, 110, S16, B02, 1
B02, Trade, 85918.558, 100, B02, S14, 1
B02, Trade, 85924.154, 111, P01, B02, 1
B02, Trade, 85935.500, 102, S03, B02, 1
B02, Trade, 85956.077, 113, P01, B02, 1
B02, Trade, 85964.173, 111, S11, B02, 1
B02, Trade, 85983.500, 106, S24, B02, 1
B02, Trade, 85984.077, 106, S06, B02, 1
B02, Trade, 85999.365, 110, S04, B02, 1
B02, Trade, 86013.250, 107, S19, B02, 1
B02, Trade, 86027.942, 114, S24, B02, 1
B02, Trade, 86043.192, 102, S06, B02, 1
B02, Trade, 86046.327, 111, S24, B02, 1
B02, Trade, 86053.885, 103, S10, B02, 1
B02, Trade, 86067.731, 103, S15, B02, 1
B02, Trade, 86082.808, 107, S10, B02, 1
B02, Trade, 86093.308, 104, S15, B02, 1
B02, Trade, 86094.731, 104, S12, B02, 1
B02, Trade, 86107.904, 99, B02, S01, 1
B02, Trade, 86119.596, 107, B02, S23, 1
B02, Trade, 86128.250, 102, S11, B02, 1
B02, Trade, 86136.865, 109, S03, B02, 1
