B01, Trade, 86352.115, 174, S01, B01, 1
B01, Trade, 86363.558, 170, S15, B01, 1
B01, Trade, 86367.692, 170, S00, B01, 1
B01, Trade, 86384.154, 166, S01, B01, 1
B01, Trade, 86390.615, 176, S01, B01, 1
B02, 100
B02, Trade, 85172.885, 170, S10, B02, 1
B02, Trade, 85187.654, 165, B02, S06, 1
B02, Trade, 85207.942, 163, P00, B02, 1
B02, Trade, 85221.385, 173, S02, B02, 1
B02, Trade, 85223.750, 178, S04, B02, 1
B02, Trade, 85234.577, 165, S03, B02, 1
B02, Trade, 85247.981, 167, S16, B02, 1
B02, Trade, 85253.212, 160, S20, B02, 1
B02, Trade, 85264.250, 170, P00, B02, 1
B02, Trade, 85271.692, 172, S02, B02, 1
B02, Trade, 85288.462, 169, S01, B02, 1
B02, Trade, 85294.423, 168, S19, B02, 1
B02, Trade, 85314.942, 167, B02, S15, 1
B02, Trade, 85325.154, 161, B02, S16, 1
B02, Trade, 85362.346, 165, S11, B02, 1
B02, Trade, 85368.288, 158, B02, S11, 1
B02, Trade, 85382.192, 170, S11, B02, 1
B02, Trade, 85396.346, 170, S03, B02, 1
B02, Trade, 85424.115, 169, S08, B02, 1
B02, Trade, 85437.904, 166, S15, B02, 1
B02, Trade, 85446.596, 173, S03, B02, 1
B02, Trade, 85460.250, 167, P00, B02, 1
B02, Trade, 85471.885, 168, S05, B02, 1
B02, Trade, 85479.673, 171, S15, B02, 1
B02, Trade, 85486.385, 169, S03, B02, 1
B02, Trade, 85492.808, 167, S16, B02, 1
B02, Trade, 85503.269, 168, B02, S08, 1
B02, Trade, 85513.827, 164, B02, S09, 1
B02, Trade, 85525.712, 169, S16, B02, 1
B02, Trade, 85541.250, 171, S23, B02, 1
B02, Trade, 85546.462, 169, P00, B02, 1
B02, Trade, 85554.904, 172, S16, B02, 1
B02, Trade, 85564.327, 164, B02, S24, 1
B02, Trade, 85580.404, 163, B02, S09, 1
B02, Trade, 85597.788, 168, B02, S18, 1
