B01, Trade, 86218.808, 167, B01, S14, 1
B01, Trade, 86233.173, 167, B01, S14, 1
B01, Trade, 86236.769, 174, S22, B01, 1
B01, Trade, 86251.712, 164, B01, S12, 1
B01, Trade, 86263.519, 168, B01, S02, 1
B01, Trade, 86273.423, 165, B01, S18, 1
B01, Trade, 86283.385, 173, B01, S03, 1
B01, Trade, 86297.596, 168, B01, S12, 1
B01, Trade, 86298.558, 167, B01, S05, 1
B01, Trade, 86314.712, 167, B01, S21, 1
B01, Trade, 86351.481, 174, B01, S16, 1
B01, Trade, 86358.731, 170, B01, S10, 1
B01, Trade, 86364.731, 165, B01, S16, 1
B01, Trade, 86390.615, 166, B01, S15, 1
B02, 100
B02, Trade, 85059.442, 164, B02, S14, 1
B02, Trade, 85068.154, 169, B02, S05, 1
B02, Trade, 85082.442, 163, B02, S00, 1
B02, Trade, 85088.846, 165, S03, B02, 1
B02, Trade, 85102.635, 163, B02, S00, 1
B02, Trade, 85117.596, 166, B02, S10, 1
B02, Trade, 85125.000, 167, B02, S17, 1
B02, Trade, 85135.192, 168, P00, B02, 1
B02, Trade, 85144.962, 165, B02, S06, 1
B02, Trade, 85173.115, 163, B02, S14, 1
B02, Trade, 85182.365, 169, B02, S19, 1
B02, Trade, 85191.788, 166, S23, B02, 1
B02, Trade, 85199.654, 166, B02, S17, 1
B02, Trade, 85213.615, 163, B02, S20, 1
B02, Trade, 85235.212, 175, B02, S05, 1
B02, Trade, 85251.942, 163, S22, B02, 1
B02, Trade, 85252.885, 163, S07, B02, 1
B02, Trade, 85276.365, 161, B02, S20, 1
B02, Trade, 85283.596, 167, S02, B02, 1
B02, Trade, 85301.058, 166, B02, S24, 1
B02, Trade, 85310.327, 169, B02, S05, 1
B02, Trade, 85320.327, 164, S02, B02, 1
B02, Trade, 85336.404, 164, B02, S21, 1
B02, Trade, 85345.442, 159, B02, S00, 1
B02, Trade, 85378.096, 163, S02, B02, 1
B02, Trade, 85399.462, 166, B02, S03, 1
B02, Trade, 85403.154, 168, S09, B02, 1
B02, Trade, 85428.269, 169, B02, S14, 1
B02, Trade, 85439.288, 164, S24, B02, 1
B02, Trade, 85456.692, 162, B02, S14, 1
B02, Trade, 85476.885, 163, B02, S17, 1
B02, Trade, 85489.442, 167, S23, B02, 1
B02, Trade, 85495.673, 160, B02, S00, 1
B02, Trade, 85511.846, 167, B02, S23, 1
B02, Trade, 85523.058, 163, S16, B02, 1
B02, Trade, 85548.192, 169, B02, S00, 1
B02, Trade, 85560.154, 162, B02, S15, 1
B02, Trade, 85561.904, 164, S23, B02, 1
B02, Trade, 85580.846, 163, B02, S23, 1
B02, Trade, 85582.135, 162, S19, B02, 1
B02, Trade, 85592.923, 160, B02, S09, 1
B02, Trade, 85598.250, 161, S02, B02, 1
B02, Trade, 85621.904, 168, S12, B02, 1
B02, Trade, 85630.019, 165, S02, B02, 1
B02, Trade, 85633.635, 170, S08, B02, 1
B02, Trade, 85652.654, 166, B02, S03, 1
B02, Trade, 85666.288, 161, B02, S07, 1
B02, Trade, 85671.173, 171, S04, B02, 1
B02, Trade, 85685.192, 167, S18, B02, 1
B02, Trade, 85698.077, 159, B02, S05, 1
B02, Trade, 85720.231, 170, S06, B02, 1
B02, Trade, 85731.135, 166, B02, S04, 1
B02, Trade, 85743.750, 171, S02, B02, 1
B02, Trade, 85756.173, 163, P00, B02, 1
B02, Trade, 85783.865, 164, B02, S17, 1
B02, Trade, 85792.212, 170, S17, B02, 1
