B02, Trade, 85570.000, 120, S04, B02, 1
B02, Trade, 85589.904, 108, B02, S13, 1
B02, Trade, 85592.077, 113, S20, B02, 1
B02, Trade, 85601.788, 107, S19, B02, 1
B02, Trade, 85619.423, 109, S09, B02, 1
B02, Trade, 85623.692, 116, S20, B02, 1
B02, Trade, 85646.077, 105, B02, S23, 1
B02, Trade, 85656.827, 111, B02, S00, 1
B02, Trade, 85683.000, 110, S22, B02, 1
B02, Trade, 85692.346, 104, S04, B02, 1
B02, Trade, 85703.692, 105, B02, S14, 1
B02, Trade, 85708.981, 111, S19, B02, 1
B02, Trade, 85715.788, 108, B02, S05, 1
B02, Trade, 85740.654, 107, B02, S18, 1
B02, Trade, 85749.154, 109, B02, S18, 1
B02, Trade, 85752.654, 111, B02, S15, 1
B02, Trade, 85766.173, 111, S11, B02, 1
B02, Trade, 85795.885, 105, B02, S18, 1
B02, Trade, 85797.077, 108, S13, B02, 1
B02, Trade, 85814.327, 109, S16, B02, 1
B02, Trade, 85831.346, 111, B02, S18, 1
B02, Trade, 85842.462, 113, B02, S06, 1
B02, Trade, 85845.058, 112, P01, B02, 1
B02, Trade, 85868.750, 111, B02, S12, 1
B02, Trade, 85876.615, 113, S07, B02, 1
B02, Trade, 85895.635, 111, B02, S15, 1
B02, Trade, 85909.038, 115, S04, B02, 1
B02, Trade, 85927.558, 101, B02, S07, 1
B02, Trade, 85928.019, 104, S04, B02, 1
B02, Trade, 85945.558, 109, P01, B02, 1
B02, Trade, 85965.346, 105, B02, S15, 1
B02, Trade, 85980.615, 113, S09, B02, 1
B02, Trade, 85998.365, 112, P01, B02, 1
B02, Trade, 86014.058, 104, S23, B02, 1
B02, Trade, 86021.519, 111, P01, B02, 1
B02, Trade, 86033.154, 115, S18, B02, 1
B02, Trade, 86041.269, 110, B02, S14, 1
B02, Trade, 86048.827, 107, B02, S10, 1
B02, Trade, 86061.846, 110, P01, B02, 1
B02, Trade, 86076.712, 109, B02, S06, 1
B02, Trade, 86083.365, 106, B02, S20, 1
B02, Trade, 86084.654, 111, B02, S14, 1
B02, Trade, 86125.173, 114, S09, B02, 1
B02, Trade, 86157.577, 106, B02, S01, 1
B02, Trade, 86183.673, 111, B02, S14, 1
B02, Trade, 86189.904, 112, P01, B02, 1
B02, Trade, 86205.692, 106, B02, S19, 1
B02, Trade, 86207.865, 108, S04, B02, 1
B02, Trade, 86223.962, 110, B02, S12, 1
B02, Trade, 86232.442, 111, B02, S15, 1
B02, Trade, 86239.442, 116, B02, S01, 1
B02, Trade, 86281.538, 112, S08, B02, 1
B02, Trade, 86297.769, 109, B02, S11, 1
B02, Trade, 86319.192, 113, S04, B02, 1
B02, Trade, 86330.250, 105, B02, S09, 1
B02, Trade, 86346.827, 106, B02, S16, 1
B02, Trade, 86384.500, 111, S01, B02, 1
B03, 100
B03, Trade, 84068.308, 117, S00, B03, 1
B03, Trade, 84081.212, 120, S21, B03, 1
B03, Trade, 84114.654, 116, S11, B03, 1
B03, Trade, 84141.769, 116, S05, B03, 1
B03, Trade, 84166.923, 120, S15, B03, 1
B03, Trade, 84170.269, 118, S07, B03, 1
B03, Trade, 84190.635, 123, S04, B03, 1
B03, Trade, 84209.635, 116, S00, B03, 1
B03, Trade, 84242.462, 124, S11, B03, 1
B03, Trade, 84262.115, 115, S10, B03, 1
B03, Trade, 84277.192, 116, S11, B03, 1
B03, Trade, 84384.212, 116, S15, B03, 1
B03, Trade, 84390.462, 121, S20, B03, 1
B03, Trade, 84397.788, 123, P01, B03, 1
B03, Trade, 84445.269, 126, S05, B03, 1
B03, Trade, 84483.038, 124, S00, B03, 1
B03, Trade, 84496.058, 126, S17, B03, 1
B03, Trade, 84511.423, 120, S07, B03, 1
B03, Trade, 84544.096, 119, S11, B03, 1
B03, Trade, 84558.000, 128, S23, B03, 1
B03, Trade, 84568.404, 123, S10, B03, 1
B03, Trade, 84589.365, 125, S09, B03, 1
B03, Trade, 84627.308, 122, S05, B03, 1
B03, Trade, 84641.558, 123, S23, B03, 1
B03, Trade, 84673.788, 113, B03, S18, 1
B03, Trade, 84687.635, 120, S01, B03, 1
B03, Trade, 84701.231, 119, B03, S08, 1
B03, Trade, 84709.712, 118, P01, B03, 1
B03, Trade, 84738.038, 120, S04, B03, 1
B03, Trade, 84750.712, 119, S06, B03, 1
B03, Trade, 84800.308, 119, S19, B03, 1
B03, Trade, 84802.788, 119, S24, B03, 1
B03, Trade, 84812.077, 115, B03, S07, 1
B03, Trade, 84825.442, 115, S04, B03, 1
B03, Trade, 84845.846, 116, S04, B03, 1
B03, Trade, 84871.923, 121, S22, B03, 1
B03, Trade, 84894.000, 118, S05, B03, 1
B03, Trade, 84907.538, 102, S12, B03, 1
B03, Trade, 84921.923, 98, S23, B03, 1
B03, Trade, 84929.769, 96, S04, B03, 1
B03, Trade, 84982.654, 102, S06, B03, 1
B03, Trade, 84992.731, 106, P01, B03, 1
B03, Trade, 85006.885, 90, P01, B03, 1
B03, Trade, 85015.308, 96, S04, B03, 1
B03, Trade, 85028.788, 107, S04, B03, 1
B03, Trade, 85050.192, 103, S06, B03, 1
B03, Trade, 85059.154, 101, S17, B03, 1
B03, Trade, 85078.808, 100, S08, B03, 1
B03, Trade, 85106.519, 96, S03, B03, 1
B03, Trade, 85120.000, 102, B03, S06, 1
B03, Trade, 85127.308, 101, P01, B03, 1
B03, Trade, 85156.442, 106, S14, B03, 1
