B04, Trade, 85218.115, 150, B04, S12, 1
B04, Trade, 85230.231, 151, B04, S17, 1
B04, Trade, 85233.404, 151, B04, S00, 1
B04, Trade, 85244.692, 152, B04, S16, 1
B04, Trade, 85257.269, 151, B04, S21, 1
B04, Trade, 85274.673, 149, B04, S15, 1
B04, Trade, 85287.327, 151, B04, S04, 1
B04, Trade, 85305.462, 157, B04, S11, 1
B04, Trade, 85315.404, 156, S03, B04, 1
B04, Trade, 85329.846, 155, B04, S12, 1
B04, Trade, 85345.481, 167, B04, S10, 1
B04, Trade, 85349.212, 160, B04, S19, 1
B04, Trade, 85359.827, 159, B04, S05, 1
B04, Trade, 85370.173, 154, B04, S07, 1
B04, Trade, 85387.885, 155, S22, B04, 1
B04, Trade, 85411.462, 157, S06, B04, 1
B04, Trade, 85415.000, 155, S15, B04, 1
B04, Trade, 85429.865, 154, B04, S10, 1
B04, Trade, 85445.192, 156, B04, S11, 1
B04, Trade, 85450.077, 156, S08, B04, 1
B04, Trade, 85460.865, 151, B04, S04, 1
B04, Trade, 85479.865, 158, B04, S24, 1
B04, Trade, 85491.865, 155, S11, B04, 1
B04, Trade, 85502.346, 147, S03, B04, 1
B04, Trade, 85508.481, 148, B04, S19, 1
B04, Trade, 85534.288, 159, B04, S24, 1
B04, Trade, 85552.442, 156, B04, S18, 1
B04, Trade, 85567.212, 151, B04, S18, 1
B04, Trade, 85584.385, 155, B04, S18, 1
B04, Trade, 85597.538, 153, B04, S17, 1
B04, Trade, 85613.250, 158, P01, B04, 1
B04, Trade, 85621.904, 155, S10, B04, 1
B04, Trade, 85626.173, 159, B04, S00, 1
B04, Trade, 85652.500, 160, B04, S01, 1
B04, Trade, 85664.577, 155, B04, S24, 1
B04, Trade, 85680.135, 160, B04, S21, 1
B04, Trade, 85692.635, 156, B04, S10, 1
B04, Trade, 85704.019, 159, S12, B04, 1
B04, Trade, 85706.846, 153, B04, S04, 1
B04, Trade, 85722.692, 148, B04, S15, 1
B04, Trade, 85743.519, 155, B04, S21, 1
B04, Trade, 85748.192, 153, B04, S18, 1
B04, Trade, 85761.058, 157, B04, S04, 1
B04, Trade, 85777.635, 156, P01, B04, 1
B04, Trade, 85786.365, 157, B04, S06, 1
B04, Trade, 85803.000, 151, B04, S11, 1
B04, Trade, 85803.962, 154, B04, S15, 1
B04, Trade, 85834.769, 145, B04, S02, 1
B04, Trade, 85851.212, 153, B04, S03, 1
B04, Trade, 85862.327, 159, B04, S20, 1
B04, Trade, 85881.462, 154, S04, B04, 1
B04, Trade, 85891.365, 158, B04, S24, 1
B04, Trade, 85893.538, 154, B04, S10, 1
B04, Trade, 85914.846, 152, B04, S17, 1
B04, Trade, 85921.058, 159, S21, B04, 1
B04, Trade, 85934.788, 157, B04, S19, 1
B04, Trade, 85941.827, 156, B04, S01, 1
B04, Trade, 85954.904, 150, B04, S02, 1
B04, Trade, 85959.404, 153, S20, B04, 1
B04, Trade, 85983.923, 149, B04, S03, 1
B04, Trade, 85993.250, 162, B04, S12, 1
B04, Trade, 86000.962, 155, B04, S24, 1
B04, Trade, 86012.635, 159, B04, S14, 1
B04, Trade, 86022.962, 155, S19, B04, 1
B04, Trade, 86023.981, 152, B04, S09, 1
B04, Trade, 86047.365, 158, S05, B04, 1
B04, Trade, 86056.135, 154, S04, B04, 1
B04, Trade, 86057.269, 153, P01, B04, 1
B04, Trade, 86067.519, 155, B04, S19, 1
B04, Trade, 86085.519, 154, S21, B04, 1
B04, Trade, 86104.981, 151, S07, B04, 1
B04, Trade, 86117.750, 154, B04, S05, 1
B04, Trade, 86122.462, 153, B04, S06, 1
