B02, Trade, 85426.500, 130, B02, S11, 1
B02, Trade, 85440.615, 129, B02, S12, 1
B02, Trade, 85442.750, 131, P00, B02, 1
B02, Trade, 85457.231, 122, B02, S05, 1
B02, Trade, 85464.904, 127, B02, S08, 1
B02, Trade, 85482.346, 136, S21, B02, 1
B02, Trade, 85509.000, 134, S12, B02, 1
B02, Trade, 85533.115, 128, S04, B02, 1
B02, Trade, 85550.481, 137, S11, B02, 1
B02, Trade, 85562.115, 127, B02, S15, 1
B02, Trade, 85563.365, 131, S24, B02, 1
B02, Trade, 85580.981, 135, B02, S13, 1
B02, Trade, 85596.904, 126, S02, B02, 1
B02, Trade, 85612.462, 126, B02, S22, 1
B02, Trade, 85620.942, 123, B02, S00, 1
B02, Trade, 85627.288, 132, S03, B02, 1
B02, Trade, 85645.346, 127, B02, S18, 1
B02, Trade, 85685.115, 131, S12, B02, 1
B02, Trade, 85702.712, 128, B02, S08, 1
B02, Trade, 85708.115, 130, S23, B02, 1
B02, Trade, 85722.269, 131, B02, S01, 1
B02, Trade, 85729.808, 128, B02, S07, 1
B02, Trade, 85740.635, 125, B02, S19, 1
B02, Trade, 85743.192, 127, B02, S22, 1
B02, Trade, 85785.231, 123, B02, S08, 1
B02, Trade, 85793.192, 143, B02, S12, 1
B02, Trade, 85813.712, 127, S02, B02, 1
B02, Trade, 85827.731, 130, B02, S00, 1
B02, Trade, 85839.750, 133, P00, B02, 1
B02, Trade, 85847.692, 130, B02, S13, 1
B02, Trade, 85861.173, 128, S05, B02, 1
B02, Trade, 85873.481, 133, S04, B02, 1
B02, Trade, 85901.269, 133, S08, B02, 1
B02, Trade, 85918.231, 132, S12, B02, 1
B02, Trade, 85932.442, 129, B02, S19, 1
B02, Trade, 85937.135, 124, B02, S00, 1
B02, Trade, 85960.000, 137, S05, B02, 1
B02, Trade, 85983.981, 134, S17, B02, 1
B02, Trade, 86011.308, 134, B02, S21, 1
B02, Trade, 86017.519, 124, S04, B02, 1
B02, Trade, 86031.250, 126, B02, S12, 1
B02, Trade, 86045.577, 130, B02, S00, 1
B02, Trade, 86054.365, 133, B02, S18, 1
B02, Trade, 86055.904, 133, S06, B02, 1
B02, Trade, 86071.846, 127, B02, S07, 1
B02, Trade, 86078.519, 130, S03, B02, 1
B02, Trade, 86106.558, 125, B02, S12, 1
B02, Trade, 86111.423, 129, B02, S20, 1
B02, Trade, 86134.712, 126, B02, S00, 1
B02, Trade, 86143.346, 129, S23, B02, 1
B02, Trade, 86154.558, 126, B02, S21, 1
B02, Trade, 86156.577, 135, S04, B02, 1
