B02, Trade, 85803.654, 169, S01, B02, 1
B02, Trade, 85823.904, 160, B02, S05, 1
B02, Trade, 85828.442, 165, S16, B02, 1
B02, Trade, 85840.923, 173, S00, B02, 1
B02, Trade, 85860.173, 167, S09, B02, 1
B02, Trade, 85886.635, 162, B02, S05, 1
B02, Trade, 85894.904, 162, S09, B02, 1
B02, Trade, 85910.135, 164, B02, S17, 1
B02, Trade, 85933.596, 170, S22, B02, 1
B02, Trade, 85956.212, 167, S18, B02, 1
B02, Trade, 85970.654, 167, B02, S17, 1
B02, Trade, 85981.231, 166, B02, S06, 1
B02, Trade, 85995.731, 159, B02, S03, 1
B02, Trade, 86003.577, 163, B02, S23, 1
B02, Trade, 86012.462, 166, P01, B02, 1
B02, Trade, 86017.788, 179, B02, S04, 1
B02, Trade, 86034.615, 162, B02, S09, 1
B02, Trade, 86042.231, 151, S12, B02, 1
B02, Trade, 86049.654, 166, S08, B02, 1
B02, Trade, 86086.942, 168, B02, S01, 1
B02, Trade, 86089.038, 171, B02, S22, 1
B02, Trade, 86096.462, 163, S16, B02, 1
B02, Trade, 86107.904, 168, S16, B02, 1
B02, Trade, 86148.596, 170, B02, S05, 1
B02, Trade, 86154.885, 167, B02, S07, 1
B02, Trade, 86179.673, 172, S17, B02, 1
B02, Trade, 86200.692, 165, S01, B02, 1
B02, Trade, 86213.000, 167, S18, B02, 1
B02, Trade, 86234.096, 166, S24, B02, 1
B02, Trade, 86248.577, 166, S20, B02, 1
B02, Trade, 86260.250, 166, B02, S10, 1
B02, Trade, 86268.635, 165, B02, S20, 1
B02, Trade, 86289.808, 170, S07, B02, 1
B02, Trade, 86300.192, 164, B02, S20, 1
B02, Trade, 86316.462, 162, B02, S05, 1
B02, Trade, 86320.154, 168, S12, B02, 1
B02, Trade, 86339.269, 170, B02, S24, 1
B02, Trade, 86339.827, 170, B02, S02, 1
B02, Trade, 86361.538, 162, S11, B02, 1
B02, Trade, 86395.788, 166, B02, S05, 1
B03, 100
B03, Trade, 85010.846, 166, B03, S23, 1
B03, Trade, 85013.212, 165, S07, B03, 1
B03, Trade, 85028.731, 162, B03, S04, 1
B03, Trade, 85034.500, 166, P01, B03, 1
B03, Trade, 85051.135, 166, B03, S07, 1
B03, Trade, 85052.962, 166, S14, B03, 1
B03, Trade, 85080.058, 165, B03, S23, 1
B03, Trade, 85081.173, 167, S08, B03, 1
B03, Trade, 85093.904, 166, B03, S14, 1
B03, Trade, 85101.231, 169, S18, B03, 1
B03, Trade, 85113.692, 170, S17, B03, 1
B03, Trade, 85140.500, 172, S07, B03, 1
B03, Trade, 85161.712, 169, B03, S23, 1
B03, Trade, 85163.923, 172, S14, B03, 1
B03, Trade, 85180.692, 164, B03, S07, 1
B03, Trade, 85188.635, 166, S07, B03, 1
B03, Trade, 85201.442, 174, B03, S09, 1
B03, Trade, 85205.712, 168, S00, B03, 1
B03, Trade, 85221.404, 160, B03, S12, 1
B03, Trade, 85247.788, 170, S05, B03, 1
B03, Trade, 85260.731, 169, B03, S22, 1
B03, Trade, 85277.577, 164, B03, S13, 1
B03, Trade, 85286.962, 167, S17, B03, 1
B03, Trade, 85297.558, 164, B03, S24, 1
B03, Trade, 85309.327, 170, P01, B03, 1
B03, Trade, 85325.731, 161, B03, S22, 1
B03, Trade, 85328.981, 161, B03, S12, 1
B03, Trade, 85336.327, 168, S20, B03, 1
B03, Trade, 85359.385, 162, B03, S02, 1
B03, Trade, 85367.115, 161, B03, S18, 1
B03, Trade, 85380.327, 166, P01, B03, 1
B03, Trade, 85387.346, 170, S24, B03, 1
B03, Trade, 85395.192, 161, B03, S09, 1
B03, Trade, 85407.962, 162, B03, S18, 1
B03, Trade, 85422.865, 168, S13, B03, 1
B03, Trade, 85450.058, 165, S01, B03, 1
B03, Trade, 85476.250, 166, S18, B03, 1
B03, Trade, 85496.288, 172, P01, B03, 1
B03, Trade, 85511.538, 161, B03, S01, 1
B03, Trade, 85519.654, 158, B03, S05, 1
B03, Trade, 85531.519, 161, B03, S18, 1
B03, Trade, 85542.346, 169, S04, B03, 1
B03, Trade, 85549.404, 170, S09, B03, 1
B03, Trade, 85567.346, 165, B03, S04, 1
B03, Trade, 85579.423, 165, S09, B03, 1
B03, Trade, 85587.788, 155, B03, S06, 1
B03, Trade, 85596.365, 171, B03, S06, 1
B03, Trade, 85624.769, 164, S18, B03, 1
B03, Trade, 85639.519, 166, B03, S10, 1
B03, Trade, 85656.385, 162, B03, S20, 1
B03, Trade, 85661.519, 168, S00, B03, 1
B03, Trade, 85666.404, 165, S16, B03, 1
B03, Trade, 85675.173, 170, S15, B03, 1
B03, Trade, 85700.769, 167, S10, B03, 1
B03, Trade, 85712.385, 171, S20, B03, 1
B03, Trade, 85739.885, 170, S15, B03, 1
B03, Trade, 85750.231, 168, S17, B03, 1
B03, Trade, 85764.115, 165, B03, S13, 1
B03, Trade, 85777.462, 164, B03, S21, 1
B03, Trade, 85781.346, 168, B03, S15, 1
B03, Trade, 85791.750, 163, P01, B03, 1
B03, Trade, 85802.077, 172, S14, B03, 1
B03, Trade, 85820.750, 163, B03, S01, 1
B03, Trade, 85836.846, 170, B03, S16, 1
B03, Trade, 85851.981, 160, S19, B03, 1
B03, Trade, 85862.596, 164, B03, S22, 1
B03, Trade, 85882.635, 172, S15, B03, 1
B03, Trade, 85904.192, 173, S04, B03, 1
B03, Trade, 85920.885, 165, S20, B03, 1
B03, Trade, 85937.385, 172, P01, B03, 1
B03, Trade, 85955.192, 167, B03, S20, 1
B03, Trade, 85967.731, 174, S19, B03, 1
B03, Trade, 86002.519, 169, S19, B03, 1
B03, Trade, 86021.462, 171, B03, S13, 1
B03, Trade, 86029.808, 165, B03, S18, 1
B03, Trade, 86043.404, 153, S16, B03, 1
B03, Trade, 86054.596, 168, B03, S01, 1
B03, Trade, 86067.212, 168, S16, B03, 1
B03, Trade, 86091.788, 166, S00, B03, 1
B03, Trade, 86094.327, 164, S15, B03, 1
B03, Trade, 86112.346, 166, B03, S13, 1
B03, Trade, 86141.404, 168, B03, S23, 1
B03, Trade, 86152.942, 169, S12, B03, 1
B03, Trade, 86169.404, 164, B03, S08, 1
B03, Trade, 86171.577, 172, S05, B03, 1
B03, Trade, 86180.712, 167, B03, S22, 1
B03, Trade, 86193.923, 164, B03, S19, 1
B03, Trade, 86208.731, 166, B03, S02, 1
B03, Trade, 86227.942, 166, S09, B03, 1
B03, Trade, 86241.885, 162, B03, S18, 1
B03, Trade, 86244.615, 163, S11, B03, 1
B03, Trade, 86266.173, 167, B03, S20, 1
B03, Trade, 86267.596, 168, S07, B03, 1
B03, Trade, 86291.923, 166, S16, B03, 1
B03, Trade, 86315.404, 168, B03, S24, 1
B03, Trade, 86322.692, 166, S15, B03, 1
B03, Trade, 86334.750, 177, B03, S05, 1
B03, Trade, 86341.750, 166, B03, S11, 1
B03, Trade, 86352.154, 165, B03, S23, 1
B03, Trade, 86396.827, 168, S15, B03, 1
B04, 100
B04, Trade, 85070.808, 161, B04, S11, 1
B04, Trade, 85079.058, 167, S11, B04, 1
B04, Trade, 85094.135, 164, B04, S23, 1
B04, Trade, 85097.058, 169, S14, B04, 1
B04, Trade, 85143.269, 164, B04, S12, 1
B04, Trade, 85161.808, 169, B04, S19, 1
B04, Trade, 85166.635, 172, S17, B04, 1
B04, Trade, 85177.000, 166, B04, S03, 1
B04, Trade, 85207.769, 170, S13, B04, 1
B04, Trade, 85215.288, 161, S24, B04, 1
B04, Trade, 85244.000, 161, B04, S00, 1
B04, Trade, 85249.558, 172, S18, B04, 1
B04, Trade, 85257.327, 169, B04, S02, 1
B04, Trade, 85278.423, 162, B04, S05, 1
B04, Trade, 85291.808, 171, S18, B04, 1
B04, Trade, 85301.519, 169, S03, B04, 1
B04, Trade, 85307.615, 165, B04, S02, 1
B04, Trade, 85340.442, 162, B04, S22, 1
B04, Trade, 85346.019, 162, P01, B04, 1
B04, Trade, 85363.635, 166, B04, S05, 1
B04, Trade, 85370.904, 166, S03, B04, 1
B04, Trade, 85385.000, 169, B04, S08, 1
B04, Trade, 85392.615, 159, B04, S05, 1
B04, Trade, 85409.750, 162, S08, B04, 1
B04, Trade, 85417.077, 169, B04, S00, 1
B04, Trade, 85429.000, 171, B04, S09, 1
B04, Trade, 85440.058, 163, S16, B04, 1
B04, Trade, 85459.115, 175, S00, B04, 1
B04, Trade, 85476.077, 164, S16, B04, 1
B04, Trade, 85479.500, 168, S01, B04, 1
B04, Trade, 85489.673, 169, B04, S09, 1
B04, Trade, 85512.231, 161, B04, S22, 1
B04, Trade, 85516.577, 166, S09, B04, 1
B04, Trade, 85532.519, 161, B04, S05, 1
